query,numtasks,elapsedTime,duration,schedulerDelayTime,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,gettingResultTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,executorTimeRatio,cpuTimeRatio,ioTimeRatio,jvmGCRatio,shuffleFetchWaitTimeRatio,totalBytesRead,totalBytesWritten,diskBytesSpilledRatio,memoryBytesSpilledRatio,totalBytesIORatio,shuffleBytesIORatio,elapsedTime_minutes,peakExecutionMemory_GB,totalBytesRead_GB,totalBytesWritten_GB,shuffleTotalBytesRead_GB,shuffleBytesWritten_GB
q46,14187,59307,20237522,299405,17969077,1637115,1968301,493155,739,970570,657,58817,0,14377,0,0,275251200,1481432959,17619733520,100,4396,67498971,206686,1515,205171,1537617763,18849821,1518767942,0,1327490948,52950010,0.8879089544658679,0.09110735070031699,0.908892649299683,0.05401334748579462,3.656281288126263e-05,19157351283,1327495344,0.0,0.0,14.431200357566,1.158288698929795,0.988,0.256,17.842,1.236,1.432,1.236
q47,15406,64765,30766921,376141,28083865,5668429,2305558,547655,1320,3333318,126646,167272,37,8129915,0,0,201523200,4052181092,27134716520,100,5621,16433350,592511,4654,587857,706409566,5548370,700861196,0,695611266,16313190,0.9127941336736295,0.20183934796724026,0.7981606520327598,0.1186915689845397,0.004509564477681402,27841126086,695616887,0.0,0.0,40.023648945716296,1.0155234691095414,1.079,0.188,25.929,0.648,0.658,0.648
q48,12063,36859,13548130,246625,11628242,543315,1672627,388747,636,503587,0,0,0,4033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8582912918609432,0.046723743795493766,0.9532762562045063,0.043307234231967306,0.0,0,0,,,,,0.614,0.0,0.0,0.0,0.0,0.0
q49,20317,74595,37883230,373280,35436666,2158727,2072573,510533,711,981039,38692,91975,0,24545,0,0,210502624,2009751933,28399978089,100,2384,161330499,896051,7024,889027,3562338543,26634064,3535704479,0,3562338543,161330499,0.9354182840269956,0.06091789221931883,0.9390821077806811,0.02768429174460148,0.001091863438846081,31962316632,3562340927,0.0,0.0,8.972278983672918,1.0,1.243,0.196,29.767,3.318,3.318,3.318
q5,16618,129295,35228921,488623,32537807,5417507,2202036,539869,455,1275224,18512,105501,0,367209,0,0,738725968,2327157958,14410315944,100,3737,2161073281,260874,2001,258873,30124014826,229059132,29894955694,0,30124014826,2161073281,0.9236106606841578,0.1664988362614604,0.8335011637385397,0.03919206970525088,0.0005689381586165287,44534330770,30124018563,0.0,0.0,1.4783661972874877,1.0,2.155,0.688,41.476,28.055,28.055,28.055
q50,12063,36064,13526646,273907,11583967,537002,1668115,383125,657,510888,0,0,0,4033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8563813232045845,0.04635734891164659,0.9536426510883534,0.04410302619128663,0.0,0,0,,,,,0.601,0.0,0.0,0.0,0.0,0.0
q51,15543,63135,24056009,347549,21470219,2987454,2237682,545224,559,1665896,461045,106080,0,14005,0,0,150994944,2093474209,12423564922,100,4724,535923067,440202,3435,436767,8780865446,68532237,8712333209,0,8780865446,535923067,0.8925096012393411,0.13914408604774828,0.8608559139522517,0.07759101106514098,0.0214736980558978,21204430368,8780870170,0.0,0.0,2.4148438545926023,1.0,1.052,0.141,19.748,8.178,8.178,8.178
q52,13297,47356,16981155,311026,14469590,933871,2199814,514732,725,768388,2,4704,0,120817,0,0,68026592,267222581,2147450100,100,2927,146669,24000,190,23810,6518977,52123,6466854,0,6518977,146669,0.8520969274469258,0.06454025304103295,0.935459746958967,0.0531036470280084,1.3822091710960712e-07,2153969077,6521904,0.0,0.0,330.2669093258656,1.0,0.789,0.063,2.006,0.006,0.006,0.006
q53,13624,49170,18182136,323253,15643260,1212558,2214764,539173,859,889830,22,24648,0,184363,0,0,69063792,1659654255,11122869481,100,2072,696368,152334,1189,151145,18568684,143948,18424736,0,18568684,696368,0.8603642608327207,0.07751312705919354,0.9224868729408064,0.056882644666137364,1.4063564755683917e-06,11141438165,18570756,0.0,0.0,599.9453207505392,1.0,0.82,0.064,10.376,0.017,0.017,0.017
q54,16804,61147,21500781,353273,19230850,1379469,1916119,485364,539,828511,541,28770,0,48493,0,0,482344960,512112598,2986391925,100,1782,327828761,142916,1082,141834,3101166665,29542041,3071624624,0,3101166665,327828761,0.8944256490031688,0.07173208672523576,0.9282679132747642,0.04308239105395757,2.8131881846096246e-05,6087558590,3101168447,0.0,0.0,1.962988690888096,1.0,1.019,0.449,5.669,2.888,2.888,2.888
