,App ID,App Name,query,AllSuccessful,aLogSuccess,AppSuccessful,FailureCounts,RunType,aQueryTime,elapsedTime,AppDurationSecs,stageDuration,numStages,numTasks,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,submissionTime,cpuTimeRatio,ioTimeRatio,jvmGCRatio,shuffleFetchWaitTimeRatio,totalBytesRead,totalBytesWritten,diskBytesSpilledRatio,memoryBytesSpilledRatio,totalBytesIORatio,shuffleBytesIORatio,elapsedTime_minutes,peakExecutionMemory_GB,totalBytesRead_GB,totalBytesWritten_GB,shuffleTotalBytesRead_GB,shuffleBytesWritten_GB
12,app-20201104184806-0187,TPC-DS Like Bench,q13,False,False,True,0,cpu,,32884,37.156,21440,31,12063,8804884,550880,1661662,397509,784,496568,0,0,4571058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1604515688617,0.063,0.937,0.056,0.0,0,0,,,,,0.548,0.0,0.0,0.0,0.0,0.0
13,app-20201104184844-0188,TPC-DS Like Bench,q14a,False,False,True,0,cpu,,33252,39.998,21867,31,12063,8886698,547804,1669320,389397,665,488800,0,0,4571058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1604515727459,0.062,0.938,0.055,0.0,0,0,,,,,0.554,0.0,0.0,0.0,0.0,0.0
14,app-20201104184926-0189,TPC-DS Like Bench,q14b,False,False,True,1,cpu,,365847,369.554,471497,50,20349,44491509,18766449,1973855,507229,955,3479031,346813,151405,12401115,4920412,1207959552,638961844224,17634024863,60438137521,0,0,8595330723,771466,6032,765434,26769966193,212154661,26557811532,0,27126124398,8795004910,1604515768940,0.422,0.578,0.078,0.008,87208103714,27126124398,0.0,0.014,3.215,0.987,6.097,595.08,81.219,25.263,24.931,25.263
15,app-20201104185537-0190,TPC-DS Like Bench,q15,False,False,True,0,cpu,,34140,38.154,22660,31,12063,9109554,528471,1741137,377268,1236,506736,0,0,4571058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1604516140191,0.058,0.942,0.056,0.0,0,0,,,,,0.569,0.0,0.0,0.0,0.0,0.0
16,app-20201104185617-0191,TPC-DS Like Bench,q16,False,False,True,0,cpu,,33624,37.827,22152,31,12063,9127901,549386,1687777,395756,679,503376,0,0,4571058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1604516179912,0.06,0.94,0.055,0.0,0,0,,,,,0.56,0.0,0.0,0.0,0.0,0.0
17,app-20201104185656-0192,TPC-DS Like Bench,q17,True,True,True,0,cpu,22224.0,53592,57.971,56638,42,15732,15220231,2233905,1968832,495839,769,668415,566,61180,24488036,0,0,66974107072,841070121,6886961515,100,14681,846062191,190309,1486,188823,16589023536,130868542,16458154994,0,16589023536,846062191,1604516219302,0.147,0.853,0.044,0.0,23475985051,16589038217,0.0,0.0,1.415,1.0,0.893,62.374,21.864,15.45,15.45,15.45
18,app-20201104185756-0193,TPC-DS Like Bench,q18,True,True,True,0,cpu,26233.0,58768,63.631,61122,42,14297,14888387,1860793,1874007,482535,869,1212203,748,41280,9703685,0,0,46921094400,904256785,15410805725,100,7320,122092207,198600,1583,197017,4150289319,34325078,4115964241,0,4150289319,122092207,1604516279423,0.125,0.875,0.081,0.0,19561095044,4150296639,0.0,0.0,4.713,1.0,0.979,43.699,18.218,3.865,3.865,3.865
19,app-20201104185901-0194,TPC-DS Like Bench,q19,True,True,True,0,cpu,16904.0,49094,53.518,48394,41,14166,12671368,1149058,1981565,495036,670,958928,976,36770,4571101,0,0,41379251200,309550776,3104459200,100,4162,54470274,107000,836,106164,966906145,10962745,955943400,0,966906145,54470274,1604516344367,0.091,0.909,0.076,0.0,4071365345,966910307,0.0,0.0,4.211,1.0,0.818,38.537,3.792,0.901,0.901,0.901
20,app-20201104185956-0195,TPC-DS Like Bench,q20,True,True,True,0,cpu,14756.0,47868,52.229,37119,38,13402,10711570,973408,1931968,488090,864,708589,267,20362,4571101,0,0,34626799360,41264652,359997176,100,12650,41051616,45068,350,44718,493636946,2803481,490833465,0,493636946,41051616,1604516399446,0.091,0.909,0.066,0.0,853634122,493649596,0.0,0.0,1.729,1.0,0.798,32.249,0.795,0.46,0.46,0.46
21,app-20201104190050-0196,TPC-DS Like Bench,q21,True,True,True,0,cpu,19707.0,106754,113.79,48209,37,12320,12842089,641823,1797730,470385,730,525262,0,2452,4571058,0,0,13474201600,36073071,192100734,100,2801,2278784,2000,15,1985,35490646,258865,35231781,0,35490646,2278784,1604516453192,0.05,0.95,0.041,0.0,227591380,35493447,0.0,0.0,6.412,1.0,1.779,12.549,0.212,0.033,0.033,0.033
