index,query,App ID,aLogSuccess,AppSuccessful,aQueryTime,elapsedTime,AppDurationSecs,aQueryTime_frac
9,q10,app-20201104184432-0184,TRUE,TRUE,27029,59994,64.305,2.219615968
32,q30,app-20201104192755-0207,TRUE,TRUE,26648,58593,63.09,2.198776644
54,q51,app-20201104195006-0229,TRUE,TRUE,27746,60307,64.698,2.173538528
50,q47,app-20201104194630-0225,TRUE,TRUE,28304,60645,65.304,2.142630017
79,q76,app-20201104204512-0254,TRUE,TRUE,45613,94194,99.88,2.065069169
85,q82,app-20201104205442-0260,TRUE,TRUE,39166,78418,83.114,2.002195782
68,q65,app-20201104200647-0243,TRUE,TRUE,36996,73182,78.047,1.978105741
52,q49,app-20201104194816-0227,TRUE,TRUE,32914,64980,69.517,1.974235887
33,q31,app-20201104192900-0208,TRUE,TRUE,32025,63111,69.033,1.970679157
83,q80,app-20201104205149-0258,TRUE,TRUE,48658,88607,93.596,1.821016071
61,q58,app-20201104195642-0236,TRUE,TRUE,39522,71842,76.737,1.81777238
31,q29,app-20201104192635-0206,TRUE,TRUE,41188,73758,78.005,1.7907643
78,q75,app-20201104204241-0253,TRUE,TRUE,82152,141820,149.656,1.726312202
4,q5,app-20201104183800-0179,TRUE,TRUE,47229,80275,84.721,1.69969722
77,q74,app-20201104204056-0252,TRUE,TRUE,57656,97546,103.77,1.691862079
47,q44,app-20201104194323-0222,TRUE,TRUE,47817,79326,83.886,1.658949746
91,q88,app-20201104210121-0266,TRUE,TRUE,102429,169614,175.069,1.655917758
3,q4,app-20201104183351-0178,TRUE,TRUE,149280,240372,247.17,1.610209003
10,q11,app-20201104184538-0185,TRUE,TRUE,57788,89830,94.502,1.554474978
30,q28,app-20201104192439-0205,TRUE,TRUE,77737,110172,114.306,1.417240182
81,q78,app-20201104204803-0256,TRUE,TRUE,130403,169399,174.266,1.2990422
8,q9,app-20201104184200-0183,TRUE,TRUE,112990,145453,149.968,1.287308611
67,q64,app-20201104200332-0242,TRUE,TRUE,150381,186192,193.47,1.238135137
96,q93,app-20201104210820-0271,TRUE,TRUE,166514,205111,209.738,1.231794324
25,q24a,app-20201104191120-0200,TRUE,TRUE,283322,316551,323.006,1.117283515
26,q24b,app-20201104191646-0201,TRUE,TRUE,271098,301950,307.974,1.113803864
75,q72,app-20201104203258-0250,TRUE,TRUE,360612,401051,405.947,1.112139918
24,q23b,app-20201104190534-0199,TRUE,TRUE,307378,339480,344.549,1.104438184
70,q67,app-20201104200909-0245,TRUE,TRUE,1024259,1061285,1066.025,1.03614906
